PRCP,TMAX,TMIN,SIGLVL
0.0011,55.52,51.15,66
0.0002,54.72,50.21,61
0,53.27,42.25,64
0,53.41,43.27,61
0,52.3,41.7,62
0,50.85,40.45,68
0,45.58,40.83,60
0.0001,50.98,41.26,63
0,51.26,43.01,60
0,50.68,39.9,63
0,53.11,40.5,64
0.0092,58.85,53,65
0.005,58.29,50.83,67
0,56.33,44.57,63
0,53.51,45.59,68
0.0027,54.06,46.27,66
0.0049,54.39,51.52,66
0.0325,55.79,51.27,61
0.0385,55.64,44.29,65
0.0363,53.64,42.95,65
0.0289,51.82,37.85,70
0.0105,49.8,39.37,70
0.0128,53.44,41.26,60
0.001,53.48,44.5,66
0.0194,54.86,46.29,67
0.0076,53.1,48.61,70
0,53.33,46.22,65
0,54.93,45.72,68
0.0106,56.33,47.85,66
0.0011,55.77,46.92,66
0,54.49,44.79,65
0,55.44,48.21,70
0,56.35,47.55,69
0.0009,57.67,47.4,61
0.0114,57.38,51.31,65
0.0002,59.02,50.91,65
0.0125,55.83,51.63,61
0,55.78,47.99,67
0.0015,54.27,46.29,60
0.0077,53.52,43.62,60
0,55.44,44.37,61
0.0002,57.12,44.82,60
0.0025,59.11,51.89,62
0,59.39,51.68,65
0,58.65,46.29,68
0,59.96,49.75,65
0,61.5,50.96,67
0,63.17,46.58,67
0,53.76,50.15,65
0,55.11,50.92,63
0.0003,54.01,51,68
0.0179,53.33,50.05,62
0.0029,57.42,45.27,61
0.0289,52.55,46.19,63
0.0032,57.41,52.2,68
0.001,58.22,50.34,70
0.0116,59.08,52.2,64
0.0072,57.77,47.85,69
0,59.99,47.57,64
0,56.35,49.4,67
0.0163,56.84,51.67,70
0.0262,54.37,42.93,69
0.0001,54.42,41.98,63
0,56.46,43.9,61
0,60.01,51.11,68
0.0001,58.59,51.64,70
0.0045,53,41.3,70
0,52.89,40.09,67
0.0043,54.83,39.84,61
0.0002,55.66,43.69,65
0.0166,55.2,45.21,70
0,56.25,39.64,64
0,59.24,44.9,66
0,62.98,45.62,69
0,63.43,51.02,68
0,64.84,52.93,70
0,68.6,49.99,67
0,71.03,55.87,65
0,60.01,50.86,68
0,60.31,48.07,65
0,62.37,49.27,61
0,65.12,49.36,65
0.0016,57.06,48.3,66
0.0029,57.38,50.52,70
0,60.91,44.08,66
0,65.28,47.41,61
0,61.3,50.17,61
0.0012,59.32,54.17,65
0.0096,55.94,47.46,61
0.0145,54.37,41.52,69
0.0025,55.27,43.93,69
0.0017,54.99,45.53,61
0.0052,54.48,43.01,60
0.0203,53.15,43.93,64
0.0066,56.29,43.08,67
0,60.36,44.87,63
0,63.29,47.18,70
0,60.95,48.74,60
0,63.35,47.06,63
0,55.79,52.38,65
