PRCP,TMAX,TMIN,SIGLVL,RAND1,RAND2
0,36.9,26.2,66,8.80,405.67
0,32.95,25.15,70,18.80,874.37
0,38.29,26.93,69,8.90,56.79
0,28.9,-1.25,70,1.70,145.50
0,22.86,-4.23,63,23.20,873.63
0,35.07,15.59,66,8.70,623.66
0,44.72,22.75,68,12.50,1007.12
0,40.06,27.33,64,19.90,767.58
0.0001,42.07,34.89,61,17.60,424.83
0.0477,58.54,32.64,65,12.60,816.36
0,31.75,18.08,70,1.80,599.56
0,37.02,17.83,69,10.70,786.85
0,16.88,8.85,62,18.40,493.05
0,33.88,11.75,62,17.00,217.44
0.0002,46.03,30.13,63,19.30,384.67
0.0131,50.59,36.2,61,19.70,296.22
0.0013,36.84,22.39,68,7.30,909.98
0.0001,23.59,3.47,61,11.30,1115.09
0,16.5,1.38,62,9.80,740.97
0,30.68,16.82,66,3.10,263.19
0,26.79,15.97,63,20.70,218.70
0,21.32,10.96,70,21.10,259.99
0.0391,14.05,11.29,65,11.90,326.20
0,29.73,9.86,61,10.60,1324.78
0,32.74,20.39,65,8.70,1207.62
0,43.05,26.11,66,14.50,418.35
0.0001,37.74,30.29,65,5.00,698.68
0,36.48,24.78,66,2.70,131.98
0,32.53,20.86,64,16.40,1371.31
0,32.57,19.06,60,20.40,1250.31
0,52.86,29.52,69,15.20,226.66
0.0003,57.03,39.15,68,13.60,737.06
0,49.48,31.5,62,2.20,1388.59
0.0222,55.58,36.54,63,16.80,580.43
0.0005,55.64,38.27,62,5.30,848.94
0.0098,36.34,21.15,64,9.90,1356.52
0,32.99,22.95,64,20.80,178.99
0,42.66,27.33,60,19.40,844.56
0.0015,31.04,21.31,63,23.00,455.33
0.0001,31.96,18.62,70,11.30,356.30
0.0001,30.23,21.39,62,17.00,1281.71
0.0003,20.63,4.11,67,17.20,1110.99
0,15.98,3.42,67,23.50,781.83
0,10.89,-13.55,63,9.30,767.04
0.0551,4.76,-20.17,67,5.40,1478.76
0.232,30.7,6.23,61,10.40,206.84
0.0313,53.07,31.89,69,9.20,671.23
0,32.15,28.12,66,14.10,844.39
0,27.12,16.43,70,24.80,1467.49
0,31.77,15.99,66,10.90,1421.23
0,60.18,32.06,67,7.10,577.53
0.0016,53.59,40.21,60,5.30,307.38
0,50.18,32.14,68,3.10,642.64
0.0081,32.56,26.23,62,15.50,1457.27
0.0312,57.93,27.45,68,20.20,266.17
0.0094,59.98,29.22,69,12.80,147.46
0,29.2,17.5,67,5.00,1220.88
0,33,16.23,61,15.00,331.46
0,58.72,29.94,70,14.20,306.73
0.002,58.88,40.81,68,22.20,1228.67
0.0002,45.22,33.98,61,18.10,1233.91
0.0068,52.73,18.58,69,2.50,1339.68
0,29.71,14.64,62,19.50,974.82
0.0027,31.62,20.66,61,12.70,417.66
0,39.71,19.68,69,3.50,1223.07
0,43.5,26.12,68,18.40,699.39
0,58.43,28.19,60,4.80,1285.11
0,58.94,42.85,60,7.90,25.37
0,71.02,39.82,70,11.50,1426.09
0,74.8,60.09,65,13.00,1337.13
0.0021,66.2,45.93,70,7.50,1069.63
0,54.48,37.03,66,5.30,1108.71
0,60.33,47.54,66,2.00,353.42
0.0118,51.21,32.41,63,3.90,1162.70
0.0002,55.1,36.16,65,24.00,612.68
0.0008,59.46,45.29,66,9.70,1253.17
0.0009,59.92,43.31,64,1.40,146.67
0,55.61,39.3,68,17.10,638.77
0,43.87,31.06,62,7.00,1178.64
0.0007,33.5,24.29,69,22.70,1022.16
0.0029,41.92,24.69,67,20.60,34.58
0,53.44,27.5,63,14.10,1180.64
0,69.63,43.22,60,19.60,924.67
0,53.17,38.6,70,15.60,1300.24
0.0022,68.19,42.33,62,17.70,459.93
0,50.03,31.1,65,11.20,1256.90
0,51.93,38.32,69,7.20,1284.87
0.0133,60.8,36.59,61,12.90,1417.64
0,52.11,35.71,67,22.70,316.58
0,50.49,30.53,63,2.50,507.88
0,68.94,43.29,70,12.80,434.63
0.0025,74.53,61.59,63,8.80,483.53
0.0051,61.75,44.76,63,16.20,117.32
0.0071,45.7,20.89,63,21.60,267.63
0.0133,40.15,22.07,63,23.10,465.37
0,35.27,13.41,62,11.20,950.00
0,41.16,25.3,61,3.80,1118.49
0.0052,57.12,41.99,67,21.50,1175.43
0.0001,51.46,36.66,70,9.50,697.17
0.0029,36.56,31.06,65,12.30,788.54
0,43.18,22.89,65,23.30,529.15
0.0003,59.25,36.3,60,12.10,708.80
0.0049,57.32,40.62,69,5.60,246.27
0,53.27,34.44,70,14.30,650.67
0,57.6,37.51,66,2.60,537.48
0,59.67,39.22,61,11.20,852.67
0,64.95,39.36,66,14.00,21.11
0,68.66,41.33,70,6.60,577.74
0,77.17,48.22,62,20.20,298.40
0,68.8,58.26,62,2.60,762.73
0.0001,65.48,46.25,63,17.00,519.63
0,69.22,44.04,69,9.20,609.63
0.0001,75.16,59.79,70,22.20,1395.59
0.0073,68.2,57.86,63,19.30,891.33
0,63.98,41.9,65,4.80,1106.43
0,64.46,50.4,60,15.10,361.02
0.0084,58.77,42.16,68,1.80,1286.00
0,57.72,42.1,60,15.90,1061.16
0,55.4,43.75,68,19.90,95.16
0.0014,55.29,43.54,69,23.20,8.79
0.0002,59.42,43.52,65,23.50,778.39
0.0054,46.98,40.65,62,1.50,458.16
0,58.13,41.61,70,18.90,675.40
0.0212,54.7,51.1,69,2.40,654.22
0.0013,51.43,44.88,61,17.90,1095.15
0,56.39,42.32,62,20.00,772.58
0.0176,52.89,43.34,70,4.10,736.45
0.0003,57.33,45.19,62,1.70,744.63
0.0045,64.06,46.45,69,2.60,287.10
0,70.73,50.96,64,7.40,695.02
0,60.14,50.09,68,10.40,399.59
0,71.03,50.39,69,15.70,992.09
0,73.35,55.48,70,5.00,1488.43
0.0049,63.63,57.07,65,13.00,507.42
0.0004,69.87,56.97,63,4.80,787.43
0.0001,57.98,40.73,67,16.80,1019.76
0,66.31,35.64,68,14.80,105.04
0,64.6,54.97,70,12.80,188.04
0.0001,63.88,52.95,67,2.40,1332.97
0,66.9,54.47,70,23.20,179.19
0,72.52,54.21,65,21.10,473.74
0.0018,63.39,55.67,60,8.60,1403.89
0.0043,67.72,53.47,69,5.80,909.56
0.001,74.28,54.94,66,19.50,258.02
0.008,71.55,58.52,67,20.20,216.41
0,83.21,59.05,69,1.10,1208.59
0,83.43,67.43,67,4.20,1243.14
0,82.6,69.62,66,2.20,1139.14
0.0007,87.77,69.82,60,17.00,270.15
0,82.2,69.74,67,1.20,357.51
0.031,77.99,68.17,65,23.80,703.67
0,79.88,70.1,65,7.70,290.53
0,79.63,67,69,23.90,175.57
0,70.89,62.01,64,6.50,128.99
0.0009,69.56,62.99,69,4.50,1402.81
0.0095,79.76,65.06,67,14.60,1085.14
0.0189,71.14,66.09,67,24.30,535.57
0,81.99,66.15,64,2.30,28.45
0.0006,81.15,67.52,62,7.90,935.25
0.0135,66.65,54.08,70,24.70,525.20
0,72.01,54.33,62,1.70,1425.25
0,76.84,57.5,70,6.40,141.39
0.0011,87.19,59.42,60,1.00,1498.00
0,80.53,64.05,63,24.00,100.25
0,72.14,57.7,70,13.20,1348.77
0,78.36,59.07,69,14.20,69.63
0,80.2,62.6,62,9.20,806.95
0.0046,73.87,67.57,68,2.30,629.58
0,74.19,63.85,68,24.40,639.97
0,80.76,60.55,64,8.40,6.30
0,80.13,65.87,65,2.80,671.35
0,79.25,64.54,66,10.80,273.03
0.0001,83.98,72.98,64,7.90,460.19
0,81.96,67.22,68,17.30,31.80
0,79.26,68.37,65,11.30,930.40
0,79.54,68.08,66,17.80,202.59
0,79.63,64.81,68,17.30,1004.63
0,80.61,66.24,69,5.10,372.28
0.0039,79.66,65.85,67,9.60,414.54
0.0141,74.57,69.43,68,13.10,567.53
0.0016,82.64,68.66,69,15.40,201.42
0,81.19,67.81,66,13.90,992.86
0.0259,77.69,69.91,68,14.20,1438.17
0,76.63,66.21,69,12.90,55.76
0,79.17,65.61,68,18.10,1270.78
0.0029,80.64,65.87,64,2.90,1134.30
0.0239,89.14,69.4,67,5.00,185.77
0,89.18,74.48,67,8.70,1491.75
0.0035,92.74,76.55,68,7.80,303.41
0.0016,87.79,69.71,62,20.70,262.81
0.0055,70.73,65.7,64,7.30,1468.58
0.0028,79.12,67.43,61,18.10,219.83
0,80.47,66.39,63,11.40,1373.27
0,79.91,67.72,61,22.10,86.97
0,83.68,70.51,70,14.20,669.03
0.0248,93.55,74.77,70,10.30,1376.16
0,90.25,78.24,64,18.30,166.57
0.0041,87.3,75.95,66,24.60,923.10
0,90.76,74.26,60,5.80,830.67
0.0081,93.62,75.84,67,10.40,730.77
0,81.01,74.87,67,11.90,1050.16
0,80.17,69.44,64,5.80,444.69
0,84.74,70.46,68,5.70,616.67
0,95.5,73.96,69,14.30,857.89
0,91.55,82.04,67,15.00,614.75
0,86.95,75.01,64,7.80,918.86
0.0329,94.42,74.82,69,3.70,561.93
0,90.54,72.67,63,13.10,1277.88
0,87.19,74.71,66,9.60,1289.85
0,88.88,75.21,66,4.60,503.08
0.0299,84.53,70.46,69,12.70,775.70
0.0061,84.48,73.49,67,8.10,699.75
0.0172,78.45,72.85,63,13.00,1027.21
0.0017,76.97,70.22,64,17.60,368.16
0,75.89,70.62,67,17.90,29.60
0,77.83,66.66,61,4.40,645.23
0,79.42,66.79,70,12.80,453.18
0,82.3,68.73,60,22.50,835.05
0.0006,92.45,73.23,66,22.00,1359.29
0,84.27,71.34,63,18.90,1413.58
0,82.62,71.85,62,7.40,274.62
0,83.65,70.95,67,4.30,46.74
0.0029,94.44,76.04,62,5.50,649.03
0.0055,100.4,79.46,61,22.40,1340.67
0.0121,102.51,74.66,63,13.30,506.67
0,104.22,86.38,61,14.70,691.17
0.0019,100.64,86.3,69,19.00,32.94
0,91.49,77.22,65,5.20,472.29
0.0034,93.78,77.69,70,10.00,1376.79
0.0023,85,77.24,68,16.70,599.29
0.0014,87.47,74.03,64,15.50,1032.32
0.0003,87.96,74.82,63,14.50,200.95
0.0016,84.32,74.1,65,7.10,1001.24
0.0094,87.65,75.93,64,19.00,600.31
